animal,session,stim number,start,end,intensity,stim_duration,stim_side,stim_freq,quality
GliciN-FM2,fm2-jobb-10mW.dat,1,1355,1655,10,10,right,,
GliciN-FM2,fm2-jobb-10mW.dat,2,3169,3469,10,10,right,,
GliciN-FM2,fm2-jobb-10mW.dat,3,4983,5283,10,10,right,,
GliciN-FM2,fm2-jobb-10mW.dat,4,6797,7097,10,10,right,,
GliciN-FM2,fm2-jobb-10mW.dat,5,8611,8911,10,10,right,,
GliciN-FM2,fm2-jobb-15mW.dat,1,1263,1563,15,10,right,,
GliciN-FM2,fm2-jobb-15mW.dat,2,3077,3377,15,10,right,,
GliciN-FM2,fm2-jobb-15mW.dat,3,4891,5191,15,10,right,,
GliciN-FM2,fm2-jobb-15mW.dat,4,6705,7005,15,10,right,,
GliciN-FM2,fm2-jobb-15mW.dat,5,8519,8819,15,10,right,,
GliciN-FM6,fm6-bal-1mW.dat,1,927,1227,1,10,left,,
GliciN-FM6,fm6-bal-1mW.dat,2,2741,3041,1,10,left,,
GliciN-FM6,fm6-bal-1mW.dat,3,4555,4855,1,10,left,,
GliciN-FM6,fm6-bal-1mW.dat,4,6369,6669,1,10,left,,
GliciN-FM6,fm6-bal-1mW.dat,5,8183,8483,1,10,left,,
GliciN-FM6,fm6-bal-5mW.dat,1,1026,1326,5,10,left,,
GliciN-FM6,fm6-bal-5mW.dat,2,2840,3140,5,10,left,,
GliciN-FM6,fm6-bal-5mW.dat,3,4654,4954,5,10,left,,
GliciN-FM6,fm6-bal-5mW.dat,4,6468,6768,5,10,left,,
GliciN-FM6,fm6-bal-5mW.dat,5,8282,8582,5,10,left,,
GliciN-FM6,fm6-bal-10mW.dat,1,1171,1471,10,10,left,,
GliciN-FM6,fm6-bal-10mW.dat,2,2985,3285,10,10,left,,
GliciN-FM6,fm6-bal-10mW.dat,3,4799,5099,10,10,left,,
GliciN-FM6,fm6-bal-10mW.dat,4,6613,6913,10,10,left,,
GliciN-FM6,fm6-bal-10mW.dat,5,8427,8727,10,10,left,,
GliciN-FM6,fm6-bal-15mW.dat,1,1934,2234,15,10,left,,
GliciN-FM6,fm6-bal-15mW.dat,2,3748,4048,15,10,left,,
GliciN-FM6,fm6-bal-15mW.dat,3,5562,5862,15,10,left,,
GliciN-FM6,fm6-bal-15mW.dat,4,7376,7676,15,10,left,,
GliciN-FM6,fm6-bal-15mW.dat,5,9190,9490,15,10,left,,
GliciN-FM6,fm6-jobb-1mW.dat,1,2085,2385,1,10,right,,
GliciN-FM6,fm6-jobb-1mW.dat,2,3899,4199,1,10,right,,
GliciN-FM6,fm6-jobb-1mW.dat,3,5713,6013,1,10,right,,
GliciN-FM6,fm6-jobb-1mW.dat,4,7527,7827,1,10,right,,
GliciN-FM6,fm6-jobb-1mW.dat,5,9341,9641,1,10,right,,
GliciN-FM6,fm6-jobb-5mW.dat,1,2646,2946,5,10,right,,
GliciN-FM6,fm6-jobb-5mW.dat,2,4460,4760,5,10,right,,
GliciN-FM6,fm6-jobb-5mW.dat,3,6274,6574,5,10,right,,
GliciN-FM6,fm6-jobb-5mW.dat,4,8088,8388,5,10,right,,
GliciN-FM6,fm6-jobb-5mW.dat,5,9902,10202,5,10,right,,
GliciN-FM6,fm6-jobb-10mW.dat,1,1995,2295,10,10,right,,
GliciN-FM6,fm6-jobb-10mW.dat,2,3809,4109,10,10,right,,
GliciN-FM6,fm6-jobb-10mW.dat,3,5623,5923,10,10,right,,
GliciN-FM6,fm6-jobb-10mW.dat,4,7437,7737,10,10,right,,
GliciN-FM6,fm6-jobb-10mW.dat,5,9251,9551,10,10,right,,
GliciN-FM6,fm6-jobb-15mW.dat,1,2190,2490,15,10,right,,
GliciN-FM6,fm6-jobb-15mW.dat,2,4004,4304,15,10,right,,
GliciN-FM6,fm6-jobb-15mW.dat,3,5818,6118,15,10,right,,
GliciN-FM6,fm6-jobb-15mW.dat,4,7632,7932,15,10,right,,
GliciN-FM6,fm6-jobb-15mW.dat,5,9446,9746,15,10,right,,
GliciN-FM9,fm9-bal-1mW.dat,1,1521,1821,1,10,left,,
GliciN-FM9,fm9-bal-1mW.dat,2,3335,3635,1,10,left,,
GliciN-FM9,fm9-bal-1mW.dat,3,5149,5449,1,10,left,,
GliciN-FM9,fm9-bal-1mW.dat,4,6963,7263,1,10,left,,
GliciN-FM9,fm9-bal-1mW.dat,5,8777,9077,1,10,left,,
GliciN-FM9,fm9-bal-5mW.dat,1,1497,1797,5,10,left,,
GliciN-FM9,fm9-bal-5mW.dat,2,3311,3611,5,10,left,,
GliciN-FM9,fm9-bal-5mW.dat,3,5125,5425,5,10,left,,
GliciN-FM9,fm9-bal-5mW.dat,4,6939,7239,5,10,left,,
GliciN-FM9,fm9-bal-5mW.dat,5,8753,9053,5,10,left,,
GliciN-FM9,fm9-bal-10mW.dat,1,1160,1460,10,10,left,,
GliciN-FM9,fm9-bal-10mW.dat,2,2974,3274,10,10,left,,
GliciN-FM9,fm9-bal-10mW.dat,3,4788,5088,10,10,left,,
GliciN-FM9,fm9-bal-10mW.dat,4,6602,6902,10,10,left,,
GliciN-FM9,fm9-bal-10mW.dat,5,8416,8716,10,10,left,,
GliciN-FM9,fm9-bal-15mW.dat,1,771,1071,15,10,left,,
GliciN-FM9,fm9-bal-15mW.dat,2,2585,2885,15,10,left,,
GliciN-FM9,fm9-bal-15mW.dat,3,4399,4699,15,10,left,,
GliciN-FM9,fm9-bal-15mW.dat,4,6213,6513,15,10,left,,
GliciN-FM9,fm9-bal-15mW.dat,5,8027,8327,15,10,left,,
GliciN-FM9,fm9-jobb-1mW.dat,1,562,862,1,10,right,,
GliciN-FM9,fm9-jobb-1mW.dat,2,2376,2676,1,10,right,,
GliciN-FM9,fm9-jobb-1mW.dat,3,4190,4490,1,10,right,,
GliciN-FM9,fm9-jobb-1mW.dat,4,6004,6304,1,10,right,,
GliciN-FM9,fm9-jobb-1mW.dat,5,7818,8118,1,10,right,,
GliciN-FM9,fm9-jobb-5mW.dat,1,925,1225,5,10,right,,
GliciN-FM9,fm9-jobb-5mW.dat,2,2739,3039,5,10,right,,
GliciN-FM9,fm9-jobb-5mW.dat,3,4553,4853,5,10,right,,
GliciN-FM9,fm9-jobb-5mW.dat,4,6367,6667,5,10,right,,
GliciN-FM9,fm9-jobb-5mW.dat,5,8181,8481,5,10,right,,
GliciN-FM9,fm9-jobb-10mW.dat,1,1472,1772,10,10,right,,
GliciN-FM9,fm9-jobb-10mW.dat,2,3286,3586,10,10,right,,
GliciN-FM9,fm9-jobb-10mW.dat,3,5100,5400,10,10,right,,
GliciN-FM9,fm9-jobb-10mW.dat,4,6914,7214,10,10,right,,
GliciN-FM9,fm9-jobb-10mW.dat,5,8728,9028,10,10,right,,
GliciN-FM9,fm9-jobb-15mW.dat,1,848,1148,15,10,right,,
GliciN-FM9,fm9-jobb-15mW.dat,2,2662,2962,15,10,right,,
GliciN-FM9,fm9-jobb-15mW.dat,3,4476,4776,15,10,right,,
GliciN-FM9,fm9-jobb-15mW.dat,4,6290,6590,15,10,right,,
GliciN-FM9,fm9-jobb-15mW.dat,5,8104,8404,15,10,right,,
